PYPL,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
360,120.76,118.84,4625447,121,118.4,119.3391,46308,2020-02-11 05:00:00
361,118.85,118.56,6482283,119.91,117.87,118.4924,49738,2020-02-12 05:00:00
362,118.04,120.51,6066472,121.1,117.8,120.1904,56683,2020-02-13 05:00:00
363,120.89,122.99,5769897,123,120.8,122.3718,53023,2020-02-14 05:00:00
364,122.58,122.27,5085799,122.99,121.68,122.3119,47873,2020-02-18 05:00:00
365,122.63,123.91,4878649,124.45,122.3,123.8521,47216,2020-02-19 05:00:00
366,123.86,122.43,7212911,124.31,120.4,122.2018,75829,2020-02-20 05:00:00
367,121.72,119.49,5883230,121.85,118.53,119.6494,55750,2020-02-21 05:00:00
368,114.29,116.44,10139308,116.79,113.52,115.7391,94337,2020-02-24 05:00:00
369,115.67,109.66,13636134,116.415,109.33,111.7417,142080,2020-02-25 05:00:00
370,109.81,109.11,10306927,112.63,108.6,110.2356,109416,2020-02-26 05:00:00
371,106.3,107.84,15461904,112.05,106.3,109.178,158785,2020-02-27 05:00:00
372,104.26,107.99,17215994,108.73,103.72,106.2052,178003,2020-02-28 05:00:00
373,107.46,112.86,13366965,113.05,106.53,109.828,142670,2020-03-02 05:00:00
374,112.82,109.76,11912275,114.56,108.26,111.0642,133288,2020-03-03 05:00:00
375,112.04,115.3,8245198,115.39,110.62,113.6765,86986,2020-03-04 05:00:00
376,112.03,112.18,7671457,114.9,111.24,112.5612,77062,2020-03-05 05:00:00
377,107.95,110.89,8524269,111.57,107.58,109.6295,96144,2020-03-06 05:00:00
378,102.72,101.63,12458891,106.99,99.71,103.4727,132051,2020-03-09 04:00:00
379,105.3,109.74,11748492,109.74,103.17,107.0375,126234,2020-03-10 04:00:00
380,106.65,103.9,10761017,107.75,101.98,105.0235,118027,2020-03-11 04:00:00
381,96.56,96.96,20114391,104.78,94.5,98.6652,211428,2020-03-12 04:00:00
382,100.52,110.15,19170559,110.6,99.78,104.3413,185244,2020-03-13 04:00:00
383,94,92.72,16204938,103.155,91.23,97.4297,172615,2020-03-16 04:00:00
384,94.5,97.87,17969391,101.08,90.52,96.8321,213790,2020-03-17 04:00:00
385,91.855,91.46,16073257,95.1,86.15,90.3432,182310,2020-03-18 04:00:00
