XRPUSD,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
403,0.51707,0.53233,13950572.7692278,0.5486,0.50585,0.5306,20553,2022-10-09
404,0.53259,0.49364,18190754.8897715,0.53799,0.49314,0.5144,21730,2022-10-10
405,0.49366,0.48604,18937968.9542061,0.50224,0.47625,0.4906,21352,2022-10-11
406,0.48608,0.48835,8994423.7097112,0.496,0.4818,0.4887,9943,2022-10-12
407,0.4881,0.47916,33902383.6859736,0.48968,0.44035,0.4653,31164,2022-10-13
408,0.47906,0.4886,26205490.0227507,0.5124,0.47822,0.4965,22650,2022-10-14
409,0.48852,0.48164,9845864.93168676,0.49024,0.47755,0.4837,9630,2022-10-15
410,0.48185,0.47665,12014799.0730794,0.48739,0.46816,0.4789,12264,2022-10-16
411,0.47679,0.48051,12687183.782369,0.48258,0.46261,0.4726,14066,2022-10-17
412,0.48044,0.46583,9605143.09388622,0.48443,0.45743,0.4687,13140,2022-10-18
413,0.46595,0.45073,15139356.6535934,0.4667,0.44717,0.4571,15489,2022-10-19
414,0.45065,0.44656,36307074.5797092,0.46529,0.42204,0.4503,23756,2022-10-20
415,0.44651,0.46158,20632808.7532497,0.46213,0.435,0.4482,20824,2022-10-21
416,0.46156,0.46572,11406529.7492309,0.47132,0.45611,0.463,13014,2022-10-22
417,0.4658,0.46938,12830070.26945,0.473,0.45176,0.462,14869,2022-10-23
418,0.46939,0.45344,16610547.7373252,0.47351,0.44745,0.4579,13600,2022-10-24
419,0.45408,0.46134,8301136.68599703,0.47259,0.44351,0.4545,3021,2022-10-25
420,0.46119,0.46926,13983005.0731307,0.47167,0.45688,0.4655,13989,2022-10-26
421,0.46917,0.46198,21663389.4450848,0.48287,0.45852,0.472,19232,2022-10-27
422,0.46174,0.47435,10254165.7184278,0.47598,0.45668,0.4656,11273,2022-10-28
423,0.47509,0.47094,15104718.5256754,0.48438,0.46623,0.4736,17319,2022-10-29
424,0.47041,0.45856,12728953.8823164,0.47359,0.4534,0.4637,12929,2022-10-30
425,0.45811,0.46447,16330046.987059,0.46784,0.44812,0.4559,14792,2022-10-31
426,0.46476,0.46382,15167393.3409922,0.46727,0.45448,0.4598,12287,2022-11-01
427,0.46394,0.45025,16390723.4465223,0.46631,0.44529,0.4567,16987,2022-11-02
428,0.45,0.45503,12918248.0005081,0.46,0.44902,0.4553,12805,2022-11-03
429,0.45521,0.5069,31740936.9754484,0.508,0.45349,0.4905,30760,2022-11-04
430,0.50657,0.49332,15489412.1711888,0.51,0.48979,0.4981,19468,2022-11-05
