GOOG,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
867,133.3655,135.3,26792800,136.1665,133.302,135.0334,94419,2022-02-14 05:00:00
868,137.4715,136.4255,26577560,137.9,135.5395,136.45,75503,2022-02-15 05:00:00
869,136.4305,137.4875,25609660,137.946,134.8236,136.4599,80674,2022-02-16 05:00:00
870,136.15,132.3085,30968120,136.8395,132.202,133.8268,111911,2022-02-17 05:00:00
871,133.0375,130.4675,31858600,133.824,130.307,131.4748,111713,2022-02-18 05:00:00
872,129.985,129.4025,38906580,131.9007,127.741,129.7043,129198,2022-02-22 05:00:00
873,131.0785,127.585,26431280,131.749,127.5035,128.9202,99898,2022-02-23 05:00:00
874,125,132.6735,43165080,133.037,124.7645,129.1188,156764,2022-02-24 05:00:00
875,133.5255,134.5195,26235860,135.389,131.765,133.9443,94923,2022-02-25 05:00:00
876,133.2845,134.891,29665600,135.6405,132.8253,134.2415,93343,2022-02-28 05:00:00
877,134.48,134.168,24639920,136.111,133.3785,134.5272,79896,2022-03-01 05:00:00
878,134.6083,134.7515,23966740,135.6155,133.4325,134.7739,82389,2022-03-02 05:00:00
879,135.9785,134.308,19779300,136.7138,133.431,134.7946,73736,2022-03-03 05:00:00
880,133.3825,132.122,24472240,134.199,130.4085,131.7707,83531,2022-03-04 05:00:00
881,131.904,126.4645,39177900,131.904,126.41,128.0828,144677,2022-03-07 05:00:00
882,126.2505,127.2785,35233560,131.2465,125.8608,128.0285,102122,2022-03-08 05:00:00
883,131.4,133.866,32257440,134.1985,130.088,132.5154,95374,2022-03-09 05:00:00
884,131.4625,132.682,24265200,133.5385,131.401,132.4544,74325,2022-03-10 05:00:00
885,133.9995,130.4755,26599800,134.2,130.2965,131.8673,78316,2022-03-11 05:00:00
886,130.573,126.741,30253860,131.026,126.413,127.8632,101106,2022-03-14 04:00:00
887,127.7415,129.6605,30292600,130.5173,126.568,128.9242,84914,2022-03-15 04:00:00
888,131,133.6905,32058200,133.771,129.201,132.4067,95839,2022-03-16 04:00:00
889,133.321,134.6005,23994380,134.7395,132.719,133.9459,67425,2022-03-17 04:00:00
890,133.884,136.8015,45887900,136.9135,132.932,135.6549,91859,2022-03-18 04:00:00
891,136.8475,136.4785,26632460,137.5825,134.6115,136.1753,75704,2022-03-21 04:00:00
892,136.5,140.2775,29776860,141.5,136.5,139.9769,88912,2022-03-22 04:00:00
893,139.1385,138.5035,25302320,140.025,138.1665,138.9942,70156,2022-03-23 04:00:00
894,139.2725,141.312,20544720,141.3965,138.0394,140.2233,63493,2022-03-24 04:00:00
895,141.754,141.5215,19289080,141.9595,139.6995,141.1405,63454,2022-03-25 04:00:00
896,140.6845,141.95,23773080,141.9765,139.8281,141.2539,74059,2022-03-28 04:00:00
897,143.1605,143.25,28678420,144.1625,142.484,143.3703,90305,2022-03-29 04:00:00
898,142.87,142.6445,21046380,143.4805,142.168,142.7402,63872,2022-03-30 04:00:00
899,142.4485,139.6495,29516320,142.6445,139.619,140.6501,77930,2022-03-31 04:00:00
900,140.01,140.7,23480020,140.95,138.797,140.219,67258,2022-04-01 04:00:00
901,140.8245,143.6425,19084900,144.0438,140.8245,143.3238,63916,2022-04-04 04:00:00
902,143.3995,141.063,19255560,143.59,140.9435,141.7243,64394,2022-04-05 04:00:00
903,139.1615,137.176,23574600,139.8485,136.4181,137.6628,95563,2022-04-06 04:00:00
904,136.618,136.465,19448540,137.7015,134.8573,136.4278,69795,2022-04-07 04:00:00
905,136.25,134.0105,16434480,136.25,133.7525,134.6913,63592,2022-04-08 04:00:00
