PEP,open_price,close_price,trading_volume,highest_price,lowest_price,volume_weighted_avg_price,transaction_amt,date_time
794,161.03,161.6,4558172,162.26,160.905,161.5211,47288,2021-10-29 04:00:00
795,161.2,161.26,3017085,161.5,160.18,161.0857,40514,2021-11-01 04:00:00
796,161.55,162.74,3464557,162.81,160.94,162.3291,54781,2021-11-02 04:00:00
797,162.15,164.3,3595043,164.39,162.15,163.5195,53301,2021-11-03 04:00:00
798,164.22,164.31,3310257,164.56,163.35,164.1143,51881,2021-11-04 04:00:00
799,165.55,166,3754297,166.43,164.52,165.7354,57085,2021-11-05 04:00:00
800,165.81,162.43,5766611,166.1,161.1546,162.4411,78987,2021-11-08 05:00:00
801,162.31,163.51,3778818,163.86,162,163.1785,70264,2021-11-09 05:00:00
802,164.74,164.04,2683478,165,163.025,164.0344,63300,2021-11-10 05:00:00
803,163.97,162.69,2453158,163.98,162.55,162.874,51729,2021-11-11 05:00:00
804,163.01,162.65,3540986,163.93,162.08,162.9471,49690,2021-11-12 05:00:00
805,162.51,163.8,3357116,163.88,162.49,163.2997,54605,2021-11-15 05:00:00
806,164.27,163.31,2899366,164.99,163.23,163.7477,60246,2021-11-16 05:00:00
807,162.62,163.37,3332233,163.671,162.08,163.0806,49455,2021-11-17 05:00:00
808,162.81,163.42,3498885,163.52,161.7501,163.0517,47677,2021-11-18 05:00:00
809,164.5,163.81,5247738,165.0269,163.44,164.002,54440,2021-11-19 05:00:00
810,163.2028,164.15,4157558,166.8,163.18,164.697,58494,2021-11-22 05:00:00
811,163.56,165.25,3878130,165.72,163.3079,164.8476,56622,2021-11-23 05:00:00
812,165.088,163.74,3309539,165.5,162.58,163.5515,49196,2021-11-24 05:00:00
813,162.71,161.14,3402882,163.66,160.89,161.8544,61417,2021-11-26 05:00:00
814,162.67,164.14,5305787,164.58,161.14,163.5982,63861,2021-11-29 05:00:00
815,163.83,159.78,7610010,164,158.39,160.6942,75724,2021-11-30 05:00:00
816,162.47,160.16,5385896,163.25,160.05,161.3446,88401,2021-12-01 05:00:00
817,160.1324,160.62,4554832,161.69,159.83,160.8088,80302,2021-12-02 05:00:00
818,161.47,164.71,6465861,164.88,161.34,163.5832,89877,2021-12-03 05:00:00
819,166.05,166.42,5403075,167.29,165.79,166.4701,68308,2021-12-06 05:00:00
820,166.42,166.23,5460142,166.96,165.66,166.1796,61694,2021-12-07 05:00:00
821,166.14,166.52,3891904,166.69,164.03,165.9019,52076,2021-12-08 05:00:00
822,165.92,166.31,3644496,166.88,164.85,166.1999,45969,2021-12-09 05:00:00
823,167.54,168.97,5025801,169.12,166.9,168.5698,57029,2021-12-10 05:00:00
824,168.93,169.81,5411817,171.255,168.05,169.8912,59225,2021-12-13 05:00:00
825,169.35,169.39,4984951,170.39,168.3,169.2391,61815,2021-12-14 05:00:00
826,169.77,171.57,5507820,171.78,169.46,171.1133,64966,2021-12-15 05:00:00
827,171.57,171.82,6909923,173.56,171.02,172.0401,73471,2021-12-16 05:00:00
828,171.11,168.3,10181243,172.38,168.05,169.4431,79058,2021-12-17 05:00:00
829,167.1583,169.42,5263606,169.5,166.75,168.7863,66949,2021-12-20 05:00:00
830,169.23,168.92,3401433,169.6025,167.775,168.7489,50453,2021-12-21 05:00:00
831,168.96,169.97,4362937,169.99,168.27,169.6393,44425,2021-12-22 05:00:00
832,169.9781,169.78,3241793,170.63,169.25,169.8416,39869,2021-12-23 05:00:00
833,169.985,171.47,2668961,171.56,169.765,171.0858,38002,2021-12-27 05:00:00
834,171.46,172.36,2333095,172.79,171.2,172.1894,37374,2021-12-28 05:00:00
835,172.79,172.97,2299691,173.46,171.93,172.8744,34100,2021-12-29 05:00:00
836,173.54,172.67,1988984,173.62,172.23,172.7034,30974,2021-12-30 05:00:00
837,172.46,173.71,2914941,174.015,172.11,173.3229,34228,2021-12-31 05:00:00
838,172.2,172.98,5489586,173.19,170.565,172.3438,61147,2022-01-03 05:00:00
839,172.66,173.23,4717843,174.45,172.2,173.3646,60833,2022-01-04 05:00:00
840,173.355,173.82,6564551,175.36,173.23,174.1386,72452,2022-01-05 05:00:00
